key,Chinese,English,French,Arabic,Portuguese,Bengali
现在邀请,,INVITE NOW,INVITEZ MAINTENANT,ادعو اصدقاءك الآن,CONVITE AGORA,এখনই ইনভাইট করুন 
会员代码,,Affiliate Code,Code de l'affilié,كود الشراكة ,Código de afiliado,অ্যাফিলিয়েট কোড
会员用户,,Affiliate User,Utilisateur affilié,الشريك المستخدم,Usuário afiliado,অ্যাফিলিয়েট ইউজার
网盟订单,,Affiliate Order,Commande de l'affilié,أمر الانتساب,Pedido de afiliado,অ্যাফিলিয়েট অর্ডার
网盟活动,,Affiliate Activity,Activité de l'affilié,نشاط الشريك ,Atividade de afiliados,অ্যাফিলিয়েট কার্যকলাপ
我的提现,,My Withdraws,Mes retraits, السحب الخاصة بي,Minhas retiradas,পেমেন্ট উত্তোলন
网盟账单,,Statement of Account,Resumé du compte,كشف حساب,Extrato de conta,অ্যাকাউন্ট স্টেটমেন্ট
名称,,Name,Nom de l'affilié,الاسم,Nome,নাম
会员类型,,Affiliate Type,Type d'affilié,نوع الشراكة ,Tipo de afiliado,অ্যাফিলিয়েট টাইপ
新的用户委员会,,New User Commission,Commission pour les nouveaux utilisateurs,عمولة المستخدم الجديد,Comissão de novos usuários,নতুন ইউজারের কমিশন
您的委托,,Your Commission,Votre Commission,عمولتك,Sua Comissão,আপনার কমিশন
手机号码,,Phone Number,Numéro de téléphone,رقم التليفون,Número de telefone,ফোন নাম্বার
需要该字段,,The field is required,Ce champ est obligatoire,هذه الخانة إلزامية,O campo é obrigatório,জরুরি
社交媒体表现,,Social Media Performance,Performance des médias sociaux,أداء وسائل التواصل الاجتماعي,Desempenho nas redes sociais,সোশ্যাল মিডিয়া প্যারফমেন্স
您的要求已经收到我们将在3个工作日内进行审查,,"Your request already received, we will review it within 3 working days!","Votre demande a déjà été reçue, nous l'examinerons dans les 3 jours ouvrables !",تم استلام طلبك بالفعل، وسنقوم بمراجعته خلال 3 أيام عمل!,"Sua solicitação já foi recebida, iremos analisá-la em até 3 dias úteis!","আপনার অনুরোধ ইতিমধ্যেই প্রাপ্ত হয়েছে, আমরা ৩ কার্যদিবসের মধ্যে রিভিউ করবো।"
事件的规则如下,,THE RULES OF THE EVENT ARE AS FOLLOWS,LES RÈGLES DE L'ÉVÉNEMENT SONT LES SUIVANTES,قوانين الحدث هي كما يلي:,AS REGRAS DO EVENTO SÃO AS SEGUINTES,ইভেন্টের নিয়মগুলো নিম্নে দেয়া হয়েছে
查看历史,,View History,Voir l'historique,عرض السجل,Ver histórico,হিস্টোরি দেখুন 
提交成功,,Submitted successfully,Soumis avec succès,تم الإرسال بنجاح,Enviado com sucesso,সফলভাবে সাবমিট হয়েছে
提款正在审查请耐心等待,,"Withdrawal is under review, please wait patiently","Le retrait est en cours d'examen, veuillez patienter",السحب قيد المراجعة، يرجى الانتظار .,"A retirada está em análise, aguarde pacientemente","আপনার উত্তোলন রিকুয়েস্ট রিভিউ করা হচ্ছে, অপেক্ষা করুন।"
所有订单,,All Orders,Toutes les commandes,جميع الطلبات,Todos os pedidos,সকল অর্ডার
推荐,,Referral,Renvoi,الإحالة,Referência,রেফারেল 
达到VIP,,to VIP,vers VIP,الى VIP,para VIP,ভিআইপি
提取历史,,Withdraw History,Historique des retraits,سجل السحب,Histórico de retiradas,পেমেন্ট উত্তোলন হিস্টোরি
佣金网盟,,Commission Affiliate,Commission d'affiliation,عمولة تسويق,Comissão de afiliado,কমিশন আফিলিয়েট
积分网盟,,Points Affiliate,Points d'affiliation ,نقاط تسويق ,Pontos de afiliado,পয়েন্ট আফিলিয়েট 
交易金额,,Transaction amount,Montant de la transaction,قيمة التحويل,Quantia da Transação,লেনদেনের পরিমাণ
供你参考,,Your reference,Votre référence,مرجعك,Sua Referência,আপনার রেফারেন্স
实体号,,Entity: %@,Entité,كيان,Entidade,
